sample.ID	ID	sample.num	family	mother	child	replic
S1_ACCA	0	43A replic.	43	FALSE	TRUE	TRUE
S1_AGAC	1	65B	65	FALSE	TRUE	FALSE
S1_AGTG	2	45A	45	FALSE	TRUE	FALSE
S1_CATC	3	45B	45	FALSE	TRUE	FALSE
S1_CTAC	4	60B	60	FALSE	TRUE	FALSE
S1_GACT	5	64B	64	FALSE	TRUE	FALSE
S1_GCTT	6	60A	60	FALSE	TRUE	FALSE
S1_GTGA	7	58A	58	FALSE	TRUE	FALSE
S1_GTGT	8	65A	65	FALSE	TRUE	FALSE
S1_TCAC	9	47B	47	FALSE	TRUE	FALSE
S1_TCAG	10	53B	53	FALSE	TRUE	FALSE
S1_TGTC	11	47A	47	FALSE	TRUE	FALSE
S2_ACCA	12	50A	50	FALSE	TRUE	FALSE
S2_AGAC	13	38B	38	FALSE	TRUE	FALSE
S2_AGTG	14	14B	14	FALSE	TRUE	FALSE
S2_CATC	15	64A	64	FALSE	TRUE	FALSE
S2_CTAC	16	16B	16	FALSE	TRUE	FALSE
S2_GACT	17	55B	55	FALSE	TRUE	FALSE
S2_GCTT	18	16A	16	FALSE	TRUE	FALSE
S2_GTGA	19	66B	66	FALSE	TRUE	FALSE
S2_GTGT	20	38A	38	FALSE	TRUE	FALSE
S2_TCAC	21	46B	46	FALSE	TRUE	FALSE
S2_TCAG	22	48B	48	FALSE	TRUE	FALSE
S2_TGTC	23	46A	46	FALSE	TRUE	FALSE
S3_ACCA	24	20A	20	FALSE	TRUE	FALSE
S3_AGAC	25	10A	10	FALSE	TRUE	FALSE
S3_AGTG	26	30A	30	FALSE	TRUE	FALSE
S3_CATC	27	5C	5	FALSE	TRUE	FALSE
S3_CTAC	28	35C	35	FALSE	TRUE	FALSE
S3_GACT	29	54C	54	FALSE	TRUE	FALSE
S3_GCTT	30	35B	35	FALSE	TRUE	FALSE
S3_GTGA	31	30B	30	FALSE	TRUE	FALSE
S3_GTGT	32	5B	5	FALSE	TRUE	FALSE
S3_TCAC	33	54B	54	FALSE	TRUE	FALSE
S3_TCAG	34	40A	40	FALSE	TRUE	FALSE
S3_TGTC	35	54A	54	FALSE	TRUE	FALSE
S4_ACCA	36	62A	62	FALSE	TRUE	FALSE
S4_AGAC	37	61C	61	FALSE	TRUE	FALSE
S4_AGTG	38	62B	62	FALSE	TRUE	FALSE
S4_CATC	39	62C	62	FALSE	TRUE	FALSE
S4_CTAC	40	37B	37	FALSE	TRUE	FALSE
S4_GACT	41	41A replic.	41	FALSE	TRUE	TRUE
